"id","uid","available_power","total_runtime","utilized_power","water_yield","created_at"
"44","865357060806146","662","662","100","115850","2025-07-22 00:00:04"
"45","865357060804091","753","353","46","61775","2025-07-22 00:00:04"
"46","865357060804927","753","352","46","61600","2025-07-22 00:00:06"
"47","865357060803978","454","454","100","79450","2025-07-22 00:00:09"
"48","865357060804133","631","304","48","53200","2025-07-22 00:00:11"
"49","865357060805619","1439","194","13","33950","2025-07-22 00:00:12"
"50","865357060805841","753","0","0","0","2025-07-22 00:00:16"
"51","865357060805544","753","458","60","80150","2025-07-22 00:00:16"
"53","865357060803911","196","196","100","34300","2025-07-22 06:50:57"
"54","865357060803820","198","198","100","254430","2025-07-22 08:42:10"
"55","865357060805635","896","896","100","156800","2025-07-22 12:07:42"
"56","865357060804927","1439","355","24","62125","2025-07-23 00:00:00"
"57","865357060803820","917","715","77","918775","2025-07-23 00:00:02"
"58","865357060805619","933","182","19","31850","2025-07-23 00:00:02"
"59","865357062793227","1440","601","41","105175","2025-07-23 00:00:02"
"60","865357060803911","1029","712","69","124600","2025-07-23 00:00:05"
"61","865357060803978","306","306","100","53550","2025-07-23 00:00:05"
"62","865357060805288","1440","812","56","142100","2025-07-23 00:00:09"
"63","865357060805544","1439","592","41","103600","2025-07-23 00:00:09"
"64","865357060805197","739","456","61","79800","2025-07-23 00:00:11"
"65","865357060804919","1440","497","34","86975","2025-07-23 00:00:13"
"66","865357060804133","1440","319","22","55825","2025-07-23 00:00:13"
"67","865357062793300","1440","499","34","87325","2025-07-23 00:00:15"
"68","865357060804091","1440","355","24","62125","2025-07-23 00:00:16"
"69","865357060806146","1306","519","39","90825","2025-07-23 04:59:06"
"70","865357060805809","194","193","99","33775","2025-07-23 06:39:33"
"71","865357060804661","176","176","100","30800","2025-07-23 06:44:53"
"72","865357060805635","614","363","59","63525","2025-07-23 07:20:42"
"73","865357060805619","691","329","47","57575","2025-07-24 00:00:02"
"74","865357060805544","1439","458","31","80150","2025-07-24 00:00:06"
"75","865357060804919","1439","793","55","138775","2025-07-24 00:00:06"
"76","865357060805288","1439","626","43","109550","2025-07-24 00:00:06"
"77","865357060805197","1439","862","59","150850","2025-07-24 00:00:06"
"78","865357060806146","1141","499","43","87325","2025-07-24 00:00:10"
"79","865357060803820","1440","434","30","557690","2025-07-24 00:00:11"
"80","865357060803978","659","478","72","83650","2025-07-24 00:00:11"
"81","865357060804091","1439","385","26","67375","2025-07-24 00:00:12"
"82","865357060804133","1440","222","15","38850","2025-07-24 00:00:13"
"83","865357060804927","1440","385","26","67375","2025-07-24 00:00:14"
"84","865357060803911","681","681","100","119175","2025-07-24 00:00:14"
"85","865357062793300","1440","540","37","94500","2025-07-24 00:00:15"
"86","865357062793227","1440","688","47","120400","2025-07-24 00:00:16"
"87","865357060805635","503","503","100","88025","2025-07-24 05:56:08"
"88","865357060804661","182","182","100","31850","2025-07-24 06:32:05"
"89","865357060805809","413","413","100","72275","2025-07-24 06:44:08"
"90","865357060805544","883","575","65","100625","2025-07-25 00:00:00"
"91","865357060806146","1439","289","20","50575","2025-07-25 00:00:00"
"92","865357060803978","1439","369","25","64575","2025-07-25 00:00:01"
"93","865357060804919","1439","843","58","147525","2025-07-25 00:00:01"
"94","865357060804133","1439","324","22","56700","2025-07-25 00:00:02"
"95","865357060803911","727","727","100","127225","2025-07-25 00:00:05"
"96","865357060805619","228","228","100","39900","2025-07-25 00:00:05"
"97","865357062790884","725","289","39","50575","2025-07-25 00:00:06"
"98","865357060803820","1439","394","27","506290","2025-07-25 00:00:07"
"99","865357060806153","878","516","58","90300","2025-07-25 00:00:07"
"100","865357060805288","1440","568","39","99400","2025-07-25 00:00:07"
"101","865357060806070","186","186","100","32550","2025-07-25 00:00:07"
"102","865357062793227","1439","671","46","117425","2025-07-25 00:00:09"
"103","865357060805429","407","22","5","3850","2025-07-25 00:00:12"
"104","865357060806112","707","176","24","30800","2025-07-25 00:00:13"
"105","865357060805197","792","792","100","138600","2025-07-25 00:00:14"
"107","865357060804091","725","408","56","71400","2025-07-25 00:00:14"
"108","865357062793300","1440","444","30","77700","2025-07-25 00:00:16"
"109","865357060805809","290","290","100","50750","2025-07-25 05:56:16"
"110","865357060804661","231","231","100","40425","2025-07-25 06:45:53"
"111","865357060805635","773","773","100","135275","2025-07-25 07:08:26"
"112","865357060806146","1009","618","61","108150","2025-07-26 00:00:00"
"114","865357060803820","1439","362","25","465170","2025-07-26 00:00:01"
"115","865357062793227","1439","499","34","87325","2025-07-26 00:00:02"
"116","865357060804489","277","2","0","350","2025-07-26 00:00:02"
"117","865357060804133","1440","351","24","61425","2025-07-26 00:00:03"
"118","865357060805544","594","594","100","103950","2025-07-26 00:00:03"
"119","865357060805619","0","0","0","0","2025-07-26 00:00:03"
"120","865357060804919","1440","812","56","142100","2025-07-26 00:00:03"
"121","865357060804984","272","2","0","350","2025-07-26 00:00:03"
"122","865357060805197","1439","411","28","71925","2025-07-26 00:00:03"
"123","865357060804091","585","285","48","49875","2025-07-26 00:00:04"
"124","865357060805288","1024","650","63","113750","2025-07-26 00:00:04"
"125","865357060803978","1440","864","60","151200","2025-07-26 00:00:05"
"126","865357060805429","1439","213","14","37275","2025-07-26 00:00:05"
"127","865357060806070","1346","384","28","67200","2025-07-26 00:00:08"
"128","865357060806112","1439","501","34","87675","2025-07-26 00:00:08"
"129","865357060803911","1440","718","49","125650","2025-07-26 00:00:08"
"130","865357062790884","585","285","48","49875","2025-07-26 00:00:11"
"131","865357060805080","253","0","0","0","2025-07-26 00:00:12"
"132","865357062793300","1439","542","37","94850","2025-07-26 00:00:14"
"133","865357060803838","291","5","1","875","2025-07-26 00:00:15"
"134","865357060806153","836","1","0","175","2025-07-26 00:00:16"
"135","865357060804661","348","348","100","60900","2025-07-26 06:06:19"
"136","865357060805809","275","275","100","48125","2025-07-26 06:45:24"
"137","865357060805635","595","595","100","104125","2025-07-26 12:56:31"
"138","865357060803911","724","598","82","104650","2025-07-27 00:00:00"
"139","865357060805197","955","955","100","167125","2025-07-27 00:00:00"
"140","865357060806153","826","0","0","0","2025-07-27 00:00:00"
"141","865357060805254","1086","297","27","51975","2025-07-27 00:00:01"
"142","865357062793300","579","461","79","80675","2025-07-27 00:00:02"
"143","865357060805825","355","61","17","10675","2025-07-27 00:00:03"
"144","865357060804133","1440","312","21","54600","2025-07-27 00:00:03"
"145","865357060803838","1439","112","7","19600","2025-07-27 00:00:04"
"146","865357060805288","587","543","92","95025","2025-07-27 00:00:04"
"147","865357062793227","1440","647","44","113225","2025-07-27 00:00:05"
"148","865357060804216","311","94","30","16450","2025-07-27 00:00:08"
"149","865357060804919","1440","816","56","142800","2025-07-27 00:00:08"
"150","865357060804091","419","419","100","73325","2025-07-27 00:00:08"
"151","865357060803820","718","319","44","409915","2025-07-27 00:00:08"
"152","865357060805429","1440","218","15","38150","2025-07-27 00:00:09"
"155","865357060805759","622","11","1","1925","2025-07-27 00:00:09"
"156","865357060805080","1439","82","5","14350","2025-07-27 00:00:10"
"157","865357060806187","476","0","0","0","2025-07-27 00:00:11"
"158","865357060806112","1440","437","30","76475","2025-07-27 00:00:13"
"159","865357060805031","654","8","1","1400","2025-07-27 00:00:13"
"160","865357060803978","52","52","100","9100","2025-07-27 00:00:13"
"161","865357060805775","649","34","5","5950","2025-07-27 00:00:14"
"162","865357060805544","896","272","30","47600","2025-07-27 00:00:14"
"163","865357060805767","587","0","0","0","2025-07-27 00:00:15"
"164","865357060804356","467","467","100","81725","2025-07-27 00:00:15"
"165","865357060804489","1440","65","4","11375","2025-07-27 00:00:16"
"166","865357060804984","1440","0","0","0","2025-07-27 00:00:16"
"167","865357060806146","588","482","81","84350","2025-07-27 00:00:16"
"168","865357062790884","424","424","100","74200","2025-07-27 00:00:16"
"169","865357062789340","533","67","12","11725","2025-07-27 00:00:16"
"170","865357060805635","567","566","99","99050","2025-07-27 07:30:32"
"171","865357060804661","212","212","100","37100","2025-07-27 07:32:45"
"172","865357060805809","331","331","100","57925","2025-07-27 07:50:05"
"173","865357060804356","1439","1439","100","251825","2025-07-28 00:00:01"
"174","865357060804091","625","399","63","69825","2025-07-28 00:00:01"
"175","865357060805080","1439","92","6","16100","2025-07-28 00:00:01"
"176","865357062790884","624","398","63","69650","2025-07-28 00:00:02"
"177","865357060803978","248","248","100","43400","2025-07-28 00:00:02"
"178","865357060803911","1440","744","51","130200","2025-07-28 00:00:02"
"180","865357060805767","1439","796","55","139300","2025-07-28 00:00:03"
"181","865357060805288","1439","667","46","116725","2025-07-28 00:00:03"
"182","865357060805429","1439","773","53","135275","2025-07-28 00:00:05"
"183","865357060803838","1440","124","8","21700","2025-07-28 00:00:05"
"184","865357060806112","1439","364","25","63700","2025-07-28 00:00:05"
"185","865357060804489","1439","87","6","15225","2025-07-28 00:00:06"
"186","865357060805197","928","928","100","162400","2025-07-28 00:00:06"
"188","865357060806187","1439","57","3","9975","2025-07-28 00:00:08"
"189","865357060804984","1439","0","0","0","2025-07-28 00:00:09"
"190","865357060805825","1440","117","8","20475","2025-07-28 00:00:09"
"191","865357060805759","1440","396","27","69300","2025-07-28 00:00:09"
"192","865357060805254","1440","247","17","43225","2025-07-28 00:00:10"
"193","865357062793227","943","363","38","63525","2025-07-28 00:00:10"
"194","865357062793300","664","529","79","92575","2025-07-28 00:00:11"
"195","865357060804216","1440","150","10","26250","2025-07-28 00:00:12"
"196","865357060805775","1439","234","16","40950","2025-07-28 00:00:12"
"197","865357062789340","1439","196","13","34300","2025-07-28 00:00:14"
"198","865357060804919","1440","835","57","146125","2025-07-28 00:00:15"
"199","865357060804133","740","327","44","57225","2025-07-28 00:00:15"
"200","865357060806146","1440","524","36","91700","2025-07-28 00:00:16"
"201","865357060805635","692","692","100","121100","2025-07-28 06:03:22"
"202","865357060806153","737","87","11","15225","2025-07-28 06:32:05"
"203","865357060804661","348","348","100","60900","2025-07-28 06:33:49"
"204","865357060803820","1051","449","42","576965","2025-07-28 06:45:16"
"205","865357062789472","165","165","100","28875","2025-07-28 11:07:16"
"206","865357060803838","1439","121","8","21175","2025-07-29 00:00:00"
"207","865357060806112","1439","420","29","73500","2025-07-29 00:00:01"
"208","865357062793300","1439","529","36","92575","2025-07-29 00:00:02"
"209","865357062790884","514","329","64","57575","2025-07-29 00:00:02"
"210","865357060805759","1439","400","27","70000","2025-07-29 00:00:03"
"211","865357060805825","1439","128","8","22400","2025-07-29 00:00:04"
"212","865357060805288","514","514","100","89950","2025-07-29 00:00:05"
"213","865357060806146","1439","683","47","119525","2025-07-29 00:00:05"
"214","865357060804984","1439","0","0","0","2025-07-29 00:00:05"
"215","865357060804133","1439","334","23","58450","2025-07-29 00:00:05"
"216","865357060803820","1034","256","24","328960","2025-07-29 00:00:05"
"217","865357060804356","1440","1440","100","252000","2025-07-29 00:00:06"
"218","865357060805429","1440","896","62","156800","2025-07-29 00:00:06"
"219","865357060804919","1439","724","50","126700","2025-07-29 00:00:06"
"220","865357060805197","896","896","100","156800","2025-07-29 00:00:08"
"221","865357060804489","1440","63","4","11025","2025-07-29 00:00:08"
"222","865357062789472","340","63","18","11025","2025-07-29 00:00:08"
"223","865357060804083","774","0","0","0","2025-07-29 00:00:09"
"224","865357060803911","1440","649","45","113575","2025-07-29 00:00:10"
"225","865357060805767","1440","52","3","9100","2025-07-29 00:00:10"
"226","865357060805874","779","138","17","24150","2025-07-29 00:00:11"
"227","865357060805254","1440","241","16","42175","2025-07-29 00:00:12"
"228","865357060804091","514","379","73","66325","2025-07-29 00:00:12"
"229","865357060803978","835","835","100","146125","2025-07-29 00:00:12"
"230","865357060805080","1440","57","3","9975","2025-07-29 00:00:13"
"231","865357062793227","1440","656","45","114800","2025-07-29 00:00:13"
"232","865357060806187","1440","75","5","13125","2025-07-29 00:00:14"
"233","865357060804216","1440","309","21","54075","2025-07-29 00:00:14"
"234","865357060805775","1440","97","6","16975","2025-07-29 00:00:15"
"235","865357060804661","497","497","100","86975","2025-07-29 06:29:48"
"236","865357060806153","190","190","100","33250","2025-07-29 07:26:54"
"237","865357060805635","543","543","100","95025","2025-07-29 09:31:11"
"238","865357060805171","0","0","0","0","2025-07-29 16:31:53"
"239","865357060806146","1439","901","62","157675","2025-07-30 00:00:00"
"240","865357060804927","616","143","23","25025","2025-07-30 00:00:02"
"241","865357060803820","1439","533","37","684905","2025-07-30 00:00:02"
"242","865357060805080","1439","77","5","13475","2025-07-30 00:00:02"
"243","865357060804356","824","605","73","105875","2025-07-30 00:00:03"
"244","865357060805767","1439","146","10","25550","2025-07-30 00:00:03"
"245","865357060804489","729","83","11","14525","2025-07-30 00:00:03"
"246","865357062793300","1440","508","35","88900","2025-07-30 00:00:03"
"247","865357062790884","608","296","48","51800","2025-07-30 00:00:03"
"248","865357060804133","1439","328","22","57400","2025-07-30 00:00:04"
"249","865357060806153","479","155","32","27125","2025-07-30 00:00:04"
"250","865357060805288","1440","610","42","106750","2025-07-30 00:00:05"
"251","865357060805825","1052","96","9","16800","2025-07-30 00:00:06"
"252","865357060806187","1439","71","4","12425","2025-07-30 00:00:07"
"253","865357060804083","1439","0","0","0","2025-07-30 00:00:07"
"254","865357060805874","1439","374","25","65450","2025-07-30 00:00:07"
"255","865357060804984","729","52","7","9100","2025-07-30 00:00:07"
"256","865357060804091","663","336","50","58800","2025-07-30 00:00:09"
"257","865357060805759","1440","65","4","11375","2025-07-30 00:00:09"
"258","865357060805197","847","60","7","10500","2025-07-30 00:00:10"
"259","865357060804919","1440","865","60","151375","2025-07-30 00:00:12"
"260","865357060803911","1440","661","45","115675","2025-07-30 00:00:13"
"261","865357060805775","1439","441","30","77175","2025-07-30 00:00:13"
"262","865357060803978","1440","642","44","112350","2025-07-30 00:00:14"
"263","865357060805544","586","403","68","70525","2025-07-30 00:00:14"
"264","865357062793227","1440","575","39","100625","2025-07-30 00:00:15"
"265","865357060806112","1440","429","29","75075","2025-07-30 00:00:16"
"266","865357060805429","1440","498","34","87150","2025-07-30 00:00:16"
"267","865357060805254","1440","251","17","43925","2025-07-30 00:00:16"
"268","865357060804216","1440","249","17","43575","2025-07-30 00:00:16"
"269","865357060803838","730","101","13","17675","2025-07-30 00:00:16"
"270","865357060805635","757","757","100","132475","2025-07-30 07:27:26"
"271","865357060804661","302","302","100","52850","2025-07-30 07:52:38"
"272","865357062789472","149","149","100","26075","2025-07-30 07:57:52"
"273","865357060803820","1439","749","52","962465","2025-07-31 00:00:00"
"274","865357060806153","410","77","18","13475","2025-07-31 00:00:00"
"275","865357060805429","1439","301","20","52675","2025-07-31 00:00:00"
"276","865357060803978","270","115","42","20125","2025-07-31 00:00:01"
"277","865357060806187","1439","68","4","11900","2025-07-31 00:00:01"
"278","865357060804794","362","362","100","63350","2025-07-31 00:00:02"
"279","865357060806112","1439","478","33","83650","2025-07-31 00:00:02"
"280","865357060805817","194","4","2","700","2025-07-31 00:00:02"
"281","865357060806146","966","40","4","7000","2025-07-31 00:00:03"
"282","865357060804091","1439","176","12","30800","2025-07-31 00:00:03"
"283","865357060803838","1439","169","11","29575","2025-07-31 00:00:04"
"284","865357060804216","1439","258","17","45150","2025-07-31 00:00:04"
"285","865357060804489","1440","52","3","9100","2025-07-31 00:00:04"
"286","865357060805254","1439","244","16","42700","2025-07-31 00:00:06"
"287","865357060805775","929","45","4","7875","2025-07-31 00:00:06"
"288","865357060804927","1440","170","11","29750","2025-07-31 00:00:06"
"289","865357060805874","1440","370","25","64750","2025-07-31 00:00:07"
"290","865357062793300","1440","495","34","86625","2025-07-31 00:00:08"
"291","865357062790884","1440","346","24","60550","2025-07-31 00:00:08"
"292","865357060804356","1440","0","0","0","2025-07-31 00:00:09"
"293","865357060805999","351","3","0","525","2025-07-31 00:00:09"
"294","865357060804984","1440","0","0","0","2025-07-31 00:00:09"
"295","865357060806070","828","256","30","44800","2025-07-31 00:00:11"
"296","865357060803895","351","85","24","14875","2025-07-31 00:00:12"
"297","865357060804133","1440","320","22","56000","2025-07-31 00:00:12"
"298","865357062793227","562","562","100","98350","2025-07-31 00:00:13"
"299","865357060805288","1440","537","37","93975","2025-07-31 00:00:13"
"300","865357060804463","356","356","100","62300","2025-07-31 00:00:13"
"301","865357060805825","898","129","14","22575","2025-07-31 00:00:13"
"302","865357060805544","1439","747","51","130725","2025-07-31 00:00:13"
"303","865357060804083","1440","0","0","0","2025-07-31 00:00:14"
"304","865357060804950","280","91","32","15925","2025-07-31 00:00:14"
"305","865357060805197","1096","1096","100","191800","2025-07-31 00:00:15"
"306","865357060803911","749","719","95","125825","2025-07-31 00:00:15"
"307","865357060804919","1440","757","52","132475","2025-07-31 00:00:15"
"308","865357060805023","352","352","100","61600","2025-07-31 00:00:15"
"309","865357060805759","929","64","6","11200","2025-07-31 00:00:15"
"310","865357060805080","1440","63","4","11025","2025-07-31 00:00:16"
"311","865357060805635","889","795","89","139125","2025-07-31 06:07:49"
"312","865357060804661","368","368","100","64400","2025-07-31 06:28:39"
"313","865357062789472","227","227","100","39725","2025-07-31 09:56:47"
"315","865357060805031","35","11","31","1925","2025-07-31 10:40:13"
"316","865357060805288","604","604","100","105700","2025-08-01 00:00:00"
"317","865357060805874","1439","302","20","52850","2025-08-01 00:00:02"
"318","865357060806112","1440","388","26","67900","2025-08-01 00:00:02"
"319","865357060805999","1439","0","0","0","2025-08-01 00:00:02"
"320","865357060804984","1439","0","0","0","2025-08-01 00:00:04"
"321","865357060805817","1440","3","0","525","2025-08-01 00:00:04"
"322","865357060804927","1439","117","8","20475","2025-08-01 00:00:04"
"323","865357060805544","1439","647","44","113225","2025-08-01 00:00:04"
"324","865357060803895","1439","0","0","0","2025-08-01 00:00:04"
"325","865357060804489","1440","95","6","16625","2025-08-01 00:00:05"
"326","865357060805254","1439","247","17","43225","2025-08-01 00:00:05"
"327","865357060806146","236","0","0","0","2025-08-01 00:00:06"
"328","865357060804083","415","0","0","0","2025-08-01 00:00:08"
"329","865357060805775","965","141","14","24675","2025-08-01 00:00:09"
"330","865357060804216","1440","258","17","45150","2025-08-01 00:00:11"
"331","865357060804133","1439","330","22","57750","2025-08-01 00:00:11"
"332","865357060805080","1439","137","9","23975","2025-08-01 00:00:11"
"333","865357060803820","1440","284","19","364940","2025-08-01 00:00:12"
"334","865357062793227","1439","552","38","96600","2025-08-01 00:00:12"
"335","865357060804950","1439","271","18","47425","2025-08-01 00:00:12"
"336","865357062793300","1440","498","34","87150","2025-08-01 00:00:13"
"337","865357060803978","623","532","85","93100","2025-08-01 00:00:13"
"338","865357060804919","1439","976","67","170800","2025-08-01 00:00:13"
"339","865357060806070","341","341","100","59675","2025-08-01 00:00:14"
"340","865357060805023","1439","344","23","60200","2025-08-01 00:00:14"
"341","865357060803911","1439","767","53","134225","2025-08-01 00:00:14"
"342","865357060806187","1440","75","5","13125","2025-08-01 00:00:15"
"343","865357060805429","1440","785","54","137375","2025-08-01 00:00:15"
"344","865357060803838","1440","114","7","19950","2025-08-01 00:00:15"
"345","865357060805825","715","136","19","23800","2025-08-01 00:00:15"
"346","865357060804091","1440","226","15","39550","2025-08-01 00:00:15"
"347","865357062790884","1440","284","19","49700","2025-08-01 00:00:16"
"348","865357060806153","546","219","40","38325","2025-08-01 06:38:03"
"349","865357060805809","245","245","100","42875","2025-08-01 06:41:51"
"350","865357060804661","245","245","100","42875","2025-08-01 06:43:13"
"351","865357060804463","1207","185","15","32375","2025-08-01 06:46:36"
"352","865357060805635","341","339","99","59325","2025-08-01 10:03:52"
"353","865357060805197","1433","421","29","73675","2025-08-01 11:24:15"
"354","865357060804794","569","160","28","28000","2025-08-01 12:39:08"
"355","865357062789472","152","152","100","26600","2025-08-01 17:31:01"
"356","865357060805031","27","10","37","1750","2025-08-01 18:25:58"
"357","865357060806070","1439","382","26","66850","2025-08-02 00:00:00"
"358","865357060805304","297","0","0","0","2025-08-02 00:00:00"
"359","865357060804836","739","739","100","129325","2025-08-02 00:00:00"
"360","865357060804794","626","435","69","76125","2025-08-02 00:00:00"
"361","865357060805254","1439","203","14","35525","2025-08-02 00:00:00"
"362","865357060804091","457","194","42","33950","2025-08-02 00:00:00"
"363","865357060805411","402","45","11","7875","2025-08-02 00:00:01"
"364","865357060804133","1439","299","20","52325","2025-08-02 00:00:01"
"365","865357062793227","515","515","100","90125","2025-08-02 00:00:01"
"366","865357060805585","457","0","0","0","2025-08-02 00:00:02"
"367","865357060803820","1061","250","23","321250","2025-08-02 00:00:03"
"368","865357060804786","397","396","99","69300","2025-08-02 00:00:03"
"369","865357060805619","163","163","100","28525","2025-08-02 00:00:04"
"370","865357062790884","456","243","53","42525","2025-08-02 00:00:04"
"371","865357060803911","1206","725","60","126875","2025-08-02 00:00:04"
"372","865357060805544","457","397","86","69475","2025-08-02 00:00:04"
"373","865357060804554","770","230","29","40250","2025-08-02 00:00:04"
"374","865357060805825","1439","142","9","24850","2025-08-02 00:00:05"
"375","865357060806146","283","84","29","14700","2025-08-02 00:00:06"
"376","865357060804919","1439","595","41","104125","2025-08-02 00:00:07"
"377","865357060805080","751","135","17","23625","2025-08-02 00:00:09"
"378","865357062793300","1439","476","33","83300","2025-08-02 00:00:09"
"379","865357060804984","1440","81","5","14175","2025-08-02 00:00:10"
"380","865357060804927","457","153","33","26775","2025-08-02 00:00:10"
"381","865357060805817","1440","2","0","350","2025-08-02 00:00:10"
"382","865357060805486","457","123","26","21525","2025-08-02 00:00:10"
"383","865357060806112","1440","360","25","63000","2025-08-02 00:00:11"
"384","865357060803895","1440","98","6","17150","2025-08-02 00:00:11"
"385","865357060804463","664","506","76","88550","2025-08-02 00:00:11"
"386","865357060806005","475","472","99","82600","2025-08-02 00:00:11"
"387","865357060804950","1439","565","39","98875","2025-08-02 00:00:11"
"388","865357060803978","437","132","30","23100","2025-08-02 00:00:12"
"389","865357060804083","1440","0","0","0","2025-08-02 00:00:12"
"390","865357060804547","421","0","0","0","2025-08-02 00:00:13"
"391","865357060804489","1440","55","3","9625","2025-08-02 00:00:13"
"392","865357060805288","816","816","100","142800","2025-08-02 00:00:13"
"393","865357060804216","925","327","35","57225","2025-08-02 00:00:13"
"394","865357060804034","457","1","0","175","2025-08-02 00:00:13"
"395","865357060805999","1440","0","0","0","2025-08-02 00:00:13"
"396","865357062790405","427","87","20","15225","2025-08-02 00:00:13"
"397","865357060803796","457","0","0","0","2025-08-02 00:00:14"
"398","865357060805197","755","420","55","73500","2025-08-02 00:00:14"
"399","865357060805429","1440","1005","69","175875","2025-08-02 00:00:15"
"400","865357060805023","1440","640","44","112000","2025-08-02 00:00:15"
"401","865357060803838","1440","43","2","7525","2025-08-02 00:00:16"
"402","865357060806187","1440","99","6","17325","2025-08-02 00:00:16"
"403","865357060805635","679","571","84","99925","2025-08-02 06:22:00"
"404","865357060806153","546","156","28","27300","2025-08-02 06:31:12"
"405","865357060805809","438","438","100","76650","2025-08-02 06:42:05"
"406","865357060805775","273","273","100","47775","2025-08-02 07:53:01"
"407","865357060805874","1308","446","34","78050","2025-08-02 08:33:02"
"408","865357062789472","57","57","100","9975","2025-08-02 10:32:49"
"409","865357060804661","190","190","100","33250","2025-08-02 19:05:49"
"410","865357060803747","513","5","0","875","2025-08-03 00:00:00"
"411","865357060805080","1439","83","5","14525","2025-08-03 00:00:00"
"412","865357060805817","900","1","0","175","2025-08-03 00:00:00"
"413","865357060803820","576","576","100","740160","2025-08-03 00:00:00"
"414","865357060804786","1439","461","32","80675","2025-08-03 00:00:01"
"415","865357060805304","274","9","3","1575","2025-08-03 00:00:01"
"416","865357060804984","257","86","33","15050","2025-08-03 00:00:01"
"417","865357060804919","1439","877","60","153475","2025-08-03 00:00:02"
"418","865357060804588","509","1","0","175","2025-08-03 00:00:02"
"419","865357060804794","1440","45","3","7875","2025-08-03 00:00:02"
"420","865357060803879","274","76","27","13300","2025-08-03 00:00:03"
"421","865357060805197","906","906","100","158550","2025-08-03 00:00:03"
"422","865357060804547","1439","1","0","175","2025-08-03 00:00:03"
"423","865357062793300","1439","479","33","83825","2025-08-03 00:00:04"
"424","865357060805825","996","73","7","12775","2025-08-03 00:00:04"
"425","865357060804489","257","91","35","15925","2025-08-03 00:00:05"
"426","865357060805429","1439","936","65","163800","2025-08-03 00:00:05"
"427","865357060806070","957","396","41","69300","2025-08-03 00:00:06"
"428","865357060806005","1439","643","44","112525","2025-08-03 00:00:06"
"429","865357060805411","1440","1025","71","179375","2025-08-03 00:00:07"
"430","865357060804034","1439","34","2","5950","2025-08-03 00:00:07"
"431","865357060805544","1440","737","51","128975","2025-08-03 00:00:07"
"432","865357060805437","26","0","0","0","2025-08-03 00:00:08"
"433","865357060805023","1439","43","2","7525","2025-08-03 00:00:08"
"434","865357060806021","597","0","0","0","2025-08-03 00:00:08"
"435","865357060803978","614","614","100","107450","2025-08-03 00:00:08"
"436","865357060806153","885","192","21","33600","2025-08-03 00:00:08"
"437","865357060804836","1440","440","30","77000","2025-08-03 00:00:09"
"438","865357060804463","1439","45","3","7875","2025-08-03 00:00:09"
"439","865357060806112","1439","538","37","94150","2025-08-03 00:00:09"
